case,trials,win_rate,ci95_low,ci95_high,mean_turns,p50_turns,p95_turns,capped,coins_per_attempt,exp_per_attempt
equal-stella_sorcerer-grassbeat,200,1,0.9811539940816791,1,2.375,2,4,0,12.62,46.605
equal-stella_sorcerer-slime_gold,200,1,0.9811539940816791,1,5.825,6,7,0,200,47.015
equal-lumina_apprentice-slime,200,1,0.9811539940816791,1,3.895,4,5,0,12.21,80
equal-lumina_apprentice-grassbeat,200,0.945,0.9042120755340645,0.9690149791986299,6.995,6,10,0,11.755,43.855
equal-lumina_apprentice-slime_gold,200,1,0.9811539940816791,1,14.785,15,16,0,200,46.39
equal-lumina_wizard-slime,200,1,0.9811539940816791,1,2.055,2,3,0,12.225,80
equal-lumina_wizard-grassbeat,200,1,0.9811539940816791,1,3.46,3,5,0,12.51,46.925
equal-lumina_wizard-slime_gold,200,1,0.9811539940816791,1,7.595,8,9,0,200,46.545
equal-lumina_sorcerer-slime,200,1,0.9811539940816791,1,2,2,2,0,12.21,80
equal-lumina_sorcerer-grassbeat,200,1,0.9811539940816791,1,2.485,2,5,0,12.64,46.46
equal-lumina_sorcerer-slime_gold,200,1,0.9811539940816791,1,5.935,6,7,0,200,46.84
equal-orcana-slime,200,1,0.9811539940816791,1,2.29,2,3,0,12.52,80
equal-orcana-grassbeat,200,0.99,0.9642775148038205,0.9972533993962251,4.37,4,6,0,12.165,46.655
equal-orcana-slime_gold,200,1,0.9811539940816791,1,9.3,9,11,0,200,46.58
equal-orca_stream-slime,200,1,0.9811539940816791,1,2,2,2,0,12.21,80
equal-orca_stream-grassbeat,200,1,0.9811539940816791,1,3.46,3,5,0,12.51,46.925
equal-orca_stream-slime_gold,200,1,0.9811539940816791,1,7.14,7,8,0,200,46.65
equal-orca_abyss-slime,200,1,0.9811539940816791,1,2,2,2,0,12.21,80
equal-orca_abyss-grassbeat,200,1,0.9811539940816791,1,2.225,2,4,0,12.63,46.78
equal-orca_abyss-slime_gold,200,1,0.9811539940816791,1,5.465,5,6,0,200,47.58
equal-tsubaki-slime,200,1,0.9811539940816791,1,2.515,3,3,0,12.44,80
equal-tsubaki-grassbeat,200,1,0.9811539940816791,1,3.46,3,5,0,12.51,46.925
